x,y,z,vector_magnitude
101.385,-42.1251,-106.672,153.076
101.021,-43.2206,-105.158,152.09
101.309,-42.1394,-106.638,153.006
100.826,-43.137,-105.619,152.257
101.299,-42.2916,-106.771,153.134
101.106,-42.8848,-105.149,152.045
101.532,-42.096,-106.593,153.111
101.107,-43.027,-105.119,152.065
101.056,-42.1863,-106.815,152.975
100.813,-43.0849,-105.48,152.137
101.125,-42.2221,-106.961,153.133
100.799,-43.0854,-105.477,152.126
101.416,-42.3099,-106.66,153.14
100.89,-43.2152,-105.661,152.351
101.366,-42.3747,-106.726,153.17
100.826,-43.0079,-105.67,152.256
100.865,-43,-106.064,152.553
101.194,-42.5407,-107.021,153.308
100.717,-43.192,-105.946,152.428
101.314,-42.7732,-106.837,153.323
100.853,-43.375,-106.181,152.732
101.184,-42.826,-106.767,153.204
100.857,-43.0073,-106.344,152.744
101.261,-42.6618,-106.685,153.152
100.918,-42.9775,-106.058,152.577
100.938,-42.7441,-106.761,153.015
100.805,-43.0766,-106.122,152.575
101.015,-42.6779,-106.36,152.767
100.877,-42.9261,-105.78,152.342
101.407,-42.6287,-106.227,152.921
100.757,-43.1488,-106.155,152.586
101.051,-42.9704,-106.45,152.936
101.109,-43.1774,-106.19,152.851
100.961,-42.9941,-106.157,152.679
101.055,-43.1221,-106.281,152.864
100.995,-43.1087,-106.344,152.864
100.938,-42.863,-106.442,152.825
100.789,-43.0953,-106.593,152.898
100.719,-42.923,-106.277,152.583
101.01,-43.026,-106.136,152.706
100.953,-42.8577,-106.472,152.855
100.901,-43.0797,-106.065,152.6
100.971,-42.9546,-106.198,152.703
100.739,-43.3543,-105.888,152.448
100.998,-42.9324,-106.333,152.809
100.918,-43.3259,-106.007,152.641
101.014,-42.8683,-106.329,152.799
100.923,-43.2132,-105.713,152.407
101.256,-42.8905,-106.439,153.042
100.931,-43.3075,-105.958,152.61
101.387,-42.762,-106.28,152.982
100.767,-43.3393,-105.836,152.425
101.241,-42.8825,-106.397,153
100.817,-43.4746,-105.879,152.527
101.284,-42.8493,-106.204,152.886
100.804,-43.3874,-106.06,152.619
